No.;Sumber;Tanggal;Judul;Berita
1;http://health.kompas.com/read/2016/05/12/190000923/Virus.Zika.Bertahan.Lebih.Lama.di.Urine?utm_source=WP&utm_medium=box&utm_campaign=Kknwp;Kamis, 12 Mei 2016 | 19:00 WIB;Virus Zika Bertahan Lebih Lama di Urine;"KOMPAS.com - Penelitian seputar virus zika masih terus dilakukan. Yang terbaru, virus ini diketahui bertahan lebih lama di urine dibandingkan dengan dalam darah.

Menurut Pusat Pencegahan dan Pengendalian Penyakit AS (CDC), untuk menguji infeksi virus zika lebih direkomendasikan tes Zika Virus RT-PCR dengan cara meneliti contoh urine kurang dari 14 hari setelah seseorang terduga tertular virus.

Tes urine harus dilakukan bersama dengan tes darah jika spesimen dikumpulkan kurang dari 7 hari setelah timbulnya gejala-gejala.

Hasil yang positif dari tes itu sudah dianggap sebagai bukti yang cukup adanya penularan. CDC juga merekomendasikan tes zika lewat darah dan prosedur lainnya masih belum berubah.

Organisasi kesehatan dunia (WHO) menyatakan wabah zika sebagai darurat kesehatan internasional pada awal Februari 2015. Wabah tersebut melanda sebagian besar Amerika Latin dan Karibia, namun negara yang paling terdampak adalah Brasil.

Para ahli di Amerika juga menyimpulkan virus zika pada ibu hamil bisa menyebabkan mikrosefali, cacat lahir pada bayi yang dapat memicu gangguan perkembangan berat.

"
2;http://internasional.kompas.com/read/2016/05/12/18495741/Coba.Bunuh.Ibunya.di.Jalan.Raya.Pria.Ini.Ditembak.Polisi?utm_source=WP&utm_medium=box&utm_campaign=Kknwp;Kamis, 12 Mei 2016 | 18:49 WIB;Coba Bunuh Ibunya di Jalan Raya, Pria Ini Ditembak Polisi;"SAN JOSE, KOMPAS.com - Seorang pria yang mengidap gangguan jiwa yang menyerang ibunya dengan menggunakan kapak di tempat umum dilumpuhkan polisi dengan beberapa kali tembakan.

Awalnya polisi mendapat panggilan darurat pada pukul 07.10, Rabu (11/5/2016) ke wilayah selatan kota San Jose, AS karena seseorang mengendarai mobil secara ugal-ugalan.

Namun, saat politi tiba di lokasi yang dilaporkan, petugas malah melihat seorang perempuan lari dengan penuh kepanikan dari dalam sebuah rumah.

Perempuan itu dikejar anak laki-lakinya yang membawa sebilah kapak dan mengayunkan senjata tajam itu ke arah ibunya.

Saat pria, bertinggi 1,8 meter dan berbobot setidaknya 150 kilogram itu, mengayunkan kapaknya ke arah sang ibu, seorang petugas polisi melepaskan tembakan.

Terkena satu tembakan, pria bertubuh besar itu masih mampu berdiri dan terus menyerang ibunya. Alhasil, petugas kedua melepaskan tembakan yang membuat pria itu jatuh bersama ibunya.

Petugas pertama kemudian mendekati pria itu sambil membawa senjata listrik. Saat pria itu masih melawan perintah polisi, petugas tersebut menyengatnya dengan pistol listrik itu.

Namun, ternyata senjata beraliran listrik itu tak berpengaruh terhadap si tersangka. Bahkan, pria itu masih mampu mengambil kapaknya dan menghantamkan benda itu ke kepala ibunya.

Akibatnya, seorang polisi melepaskan satu tembakan lagi dan pria itu akhirnya bisa dilumpuhkan.

""Pelaku dan ibunya, yang terluka di kepala dan punggungnya dalam kondisi stabil,"" jata kepala kepolisian San Jose, Eddie Garcia.

Garcia melanjutkan, tersangka yang belum disebut identitasnya itu memiliki sejarah penyakit jiwa. Hal serupa juga disampaikan para tetangga pria berusia 26 tahun itu.
"
3;http://tekno.kompas.com/read/2016/05/12/15400017/Cerita.di.Balik.Logo.Baru.Instagram;Kamis, 12 Mei 2016 | 15:40 WIB;Cerita di Balik Logo Baru Instagram;"KOMPAS.com - Di saat pembuat aplikasi lain sudah beralih menggunakan logo dengan desain flat, Instagram tetap bertahan dengan desain skeumorphic (mirip dengan obyek di dunia nyata) berbentuk serupa kamera Polaroid, lengkap dengan lensa danviewfinder.

Namun kini logo tersebut telah diubah menjadi rancangan baru yangflat, dengan outline putih dan latar belakang gradasi yang memadukan warna ungu, pink, jingga dan ungu.
Baca: Lahir Baru, Instagram Rombak Logo dan Tampilan

Kepada Co.Design, kepala bagian desain Instagram Ian Spalter, menuturkan bahwa logo baru itu dimaksudkan supaya aplikasinya tampil lebih modern dan relevan di era seperti sekarang ketika kebanyakan pengguna menjepret foto dengan smartphone.

“Bentuknya lebih mirip dengan kamera yang dipakai orang-orang saat ini,” ujar Spalter yang sebelumnya pernah bekerja di YouTube dan Nike Plus, sebagaimana dirangkum KompasTekno dari FastCodeDesign, Kamis (12/5/2016).

Maka, logo Instagram pun disederhanakan. Elemen di bagian pojok kanan atas kini tak lagi berupa jendela bidik kamera, melainkan hanya berbentuk titik kecil dengan warna putih.

Dipadukan dengan lingkaran lensa, titik putih dan lingkaran di tengah ini mengingatkan pada kamera dan sensor cahaya di smartphonemodern, ketimbang lensa dan viewfinder Polaroid jadul.

Dengan begitu, logo baru Instagram seolah melambangkan peralihan proses fotografi dari era kamera di masa terdahulu ke era smartphone.

Proses 9 bulan

Meski bentuknya sederhana, proses pembuatan logo baru Instagram ternyata ruwet. Spalter mengaku dipusingkan oleh banyak faktor. Apalagi, satu buah logo ini melambangkan identitas Instagram, sebuah aplikasi populer yang di-klik tiap hari oleh jutaan orang.

Prosesnya sendiri memakan waktu tak kurang dari 9 bulan. Pertama-tama, tim desain mencoba menemukan elemen visual apa dari logo Instagram lama yang paling diingat oleh pengguna. 

Untuk melakukan ini, Spalter meminta para pegawai Instagram menggambar logo (versi lama) dalam waktu 10 detik dengan hanya mengandalkan ingatan. “Ini memberikan petunjuk pada kami mengenai apa yang paling nyantol di benak orang,” kata dia.

Ternyata, elemen lensa kamera, bentuk ikon yang persegi membulat di sudut-sudut, serta viewfinder di pojok kanan atas adalah elemen-elemen yang paling banyak diingat. Maka tiga hal inilah yang dijadikan basis logo baru Instagram.
Bagaimana dengan latar belakang berupa gradasi warna? Spalter menjelaskan background ini sebenarnya mewakili elemen stripingberwarna pelangi yang dulu terdapat di pojok kiri di atas logo Instagram lama.

Ada juga alasan praktisnya, yakni membuat logo jadi lebih mudah ditemukan oleh pengguna di antara rimba ikon aplikasi di layarhomescreen. Kalau cuma terdiri dari dua warna saja, bisa dipastikan logo baru ini gampang terlewat dari pandangan. 

Selain itu, ada banyak pula pertimbangan lain dalam membuat logo, seperti faktor scalability atau kemampuan menyesuaikan tampilan ikon dengan berbagai keperluan lain seperti web embed dan favicon di Twitter. 

Tim desain sempat merancang 300 versi dan varian berbeda sebelum akhirnya sampai pada logo baru Instagram.

Dulu ke sekarang

Di samping logo aplikasi utama Instagram, logo aplikasi-aplikasi lain dari layanan photo sharing itu ikut diubah dengan rancangan yang senada, yakni Boomerang, Hyperlapse, dan Layout.

Bentuk masing-masing logo itu kini menampilkan fungsi aplikasi dengan lebih jelas, mulai dari menyusun kolase foto (Layout), membuat video singkat dari rangkaian foto (Boomerang), hingga membuat videotime lapse (Hyperlapse). 

Instagram turut merombak tampilan antarmuka aplikasi utamanya menjadi sedikit berbeda. Yang paling kentara mungkin adalah layar belakang layar tempat menambahkan filter kini tak lagi berwarna hitam, melainkan putih.
Seperti perubahan logo, perubahan layar filter ini lagi-lagi melambangkan pergeseran pola konsumsi foto di era modern.

Kalau dulu para fotografer lebih suka melihat foto dengan latar belakang hitam supaya tak terganggu oleh warna lain, sekarang filterscreen Instagram sengaja dibuat putih supaya pengguna bisa lebih mudah melihat seperti apa foto itu nantinya ketika disajikan di aliranfeed yang juga berlatar belakang putih. 

Tentu, tak semua orang suka dengan perubahan yang diterapkan oleh Instagram, terutama soal logo yang boleh dibilang mengalami peralihan terbesar.
Baca: Logo Baru Instagram Banyak Disindir

Jagat internet pun seolah terbelah dua. Sebagian pengguna menyukai logo baru, sebagian lain malah membencinya. Beberapa bahkan meminta agar Instagram mengembalikan logo lama yang ikonik dan sangat familiar itu.

Soal kontroversi ini, Spalter menanggapi dengan santai “Mungkin saya akan pergi berlibur di dalam bunker!” candanya.
"
4;http://tekno.kompas.com/read/2016/05/12/14362467/Konsol.Ini.Gabungan.PlayStation.4.dan.XBox.One;Kamis, 12 Mei 2016 | 14:36 WIB;Konsol Ini Gabungan PlayStation 4 dan XBox One;"KOMPAS.com -Fuze, perusahaan game asal China, baru saja merilis sebuah konsol baru bernama Tomahawk F1. Uniknya, konsol tersebut ternyata merupakan gabungan dua produk terpopuler saat ini, yakni Sony PlayStation 4 (PS4) dan Microsoft XBox One. 

Gabungan seperti apa? Fuze ternyata merancang desain bodi konsol perangkat ini serupa dengan PS4. Hanya saja, ia dikatakan memiliki dimensi jauh lebih kecil dari konsol buatan Sony itu.

Sementara itu, alat pengendali benar-benar tampak sebagai tiruancontroller XBox One.

Kemiripan itu tidak hanya datang dari segi desain saja. Saat dinyalakan, seperti dilansir KompasTekno dari Forbes, Kamis (12/5/2016), Tomahawk F1 akan menampilkan antarmuka yang sangat mirip dengan PS4. 

Namun, itu tidak berarti bahwa Tomahawk F1 menjalankan sistem operasi yang sama dengan PS4. Konsol Fuze tersebut dikatakan menjalankan OS buatan Google, yakni Android. 

Memiliki kesamaan desain dengan PS4, Tomahawk F1 dikatakan tidak sekuat PS4. Meskipun begitu, tidak diketahui detail spesifikasi yang membekali perangkat ini. 

Fuze berusaha merayu gamer China dengan menawarkan 76 judul game yang akan dirilis bersamaan dengan peluncuran perdana perangkat ini di bulan Juni mendatang. 

Selain itu, ada 100 judul game yang sedang dikembangkan. Fuze juga mengklaim akan membawa game populer seperti Saint's Row danAssassin's Creed ke konsol tersebut. Vendor asal China ini juga bekerja sama dengan studio game besar, seperti Koei Tecmo, Ubisoft, Deep Silver, dan lain-lain.   

Warga China bisa membelinya seharga 899 RMB atau setara Rp 1,8 juta. Ada juga versi dengan harddisk 500 GB yang dijual dengan harga 1,499 RMB atau sekitar Rp 3 juta. 

Kedua harga yang jauh lebih murah ketimbang salah satu konsol yang ditirunya. PS4 saja bisa dijual dengan harga Rp 4,8 juta di Indonesia. 

Bila Anda sangat nyaman memakai controller milik XBox One dan ingin memainkannya di PS4, barangkali Tomahawk F1 ini solusinya. Minimal Anda bisa mendapatkan desain kedua konsol tersebut dalam satu kemasan.

Sayangnya, tampaknya Fuze Tomahawk F1 tidak akan dijual di luar China. 

Lebih lanjut, berikut ini beberapa foto Fuze Tomahawk F1 dari acara peluncuran di  Beijing dan seorang pengguna yang telah membelinya.
"
5;http://tekno.kompas.com/read/2016/05/12/11503967/YouTube.Bakal.Punya.Ruang.Ngobrol.;Kamis, 12 Mei 2016 | 11:50 WIB;"YouTube Bakal Punya ""Ruang Ngobrol""";"KOMPAS.com - Saat menemui video menarik di YouTube, seringkali kita ingin membaginya ke sekelompok teman atau keluarga. Alhasil, tautan video itu dicaplok lalu dibagikan ke grup WhatsApp, Line,Facebook, atau e-mail.

Dalam waktu dekat, keruwetan memindahkan tautan untuk membagi konten YouTube tak perlu lagi dirasakan. Setidaknya, itu yang dijanjikan fitur baru pada aplikasi mobile YouTube.

Fitur tersebut memungkinkan pengguna memanggil beberapa orang sekaligus untuk menyaksikan video YouTube dan mendiskusikannya di ""ruang ngobrol"" berbentuk layanan chatting yang tersedia. 

Hal ini sepertinya juga merupakan strategi YouTube agar penggunanya tak mampir ke aplikasi lain. Pengguna bisa menonton, membagi konten, dan chatting, langsung di YouTube.

Dalam ruang chatting, pengguna juga bisa langsung membagi video lainnya sebagai balasan atas diskusi video sebelumnya.

Intinya, pengguna tak perlu berkutat pada tautan dan lintas aplikasi, sebagaimana dilaporkan Wired dan dihimpun KompasTekno, Kamis, (12/5/2016).

Alasan pembuatan ruang chatting

Menurut Director of Product Management YouTube, Shimrit Ben-Yair, fitur ini dikembangkan setelah timnya mengamati bahwa kemudahan membagi konten akan meningkatkan hasrat pengguna untuk saling berbagi.

Fitur strategis itu sudah bisa dinikmati beberapa pengguna YouTube yang beruntung. Mereka bisa mengajak kawannya untuk turut menikmati fitur itu dengan mengundang ke grup chatting YouTube. Belum jelas kapan fitur ini bisa dijajal semua pengguna YouTube.

Saat ini, rata-rata waktu yang dihabiskan pengguna YouTube untuk melihat video via aplikasi mobile adalah 40 menit. Durasi tersebut masih mengukuhkan YouTube sebagai layanan video yang meraup waktu pengguna paling banyak.

Meski begitu, Facebook dan Snapchat juga berlari cepat dari belakang. Amazon pun baru-baru ini masuk ke industri video dengan meluncurkan layanan teranyarnya yang diproyeksikan sebagai penantang YouTube.

Platform berbasis video memang tengah digandrungi, seiring dengan makin cepatnya jaringan internet dan mewabahnya perangkat elektronik canggih.
"
6;http://tekno.kompas.com/read/2016/05/10/10450607/Apa.Bentuk.Kerja.Sama.Antara.Blue.Bird.dan.Go-Jek.;Selasa, 10 Mei 2016 | 10:45 WIB;Apa Bentuk Kerja Sama Antara Blue Bird dan Go-Jek?;"KOMPAS.com — PT Go-Jek Indonesia (Go-Jek) mengumumkan rencana kerja sama dengan perusahaan taksi PT Blue Bird Tbk (Blue Bird). 

Dalam keterangan pers diterima KompasTekno, Selasa (10/5/2016), bentuk kerja sama akan dilakukan pada aspek teknologi, sistem pembayaran, hingga promosi. 

Pertanyaan besarnya, apa bentuk riil dari kerja sama di antara keduanya? CEO Go-Jek sayangnya masih enggan memberikan keterangan apa pun perihal kerja sama tersebut.

Meskipun begitu, Blue Bird sudah memberikan sedikit bocoran. Head of Public Relation Blue Bird Teguh Wijayanto menjelaskan bahwa kerja sama tersebut antara lain termasuk soal pemesanan taksi Blue Bird melalui aplikasi milik Go-Jek.

Dengan kata lain, akan ada satu menu tambahan yang berguna untuk memesan taksi melalui aplikasi Go-Jek, baik di iOS maupun Android.

""Jadi, nantinya kami memberi kemudahan layanan, salah satunya melalui aplikasi (Go-Jek) ini. Selain itu, kami juga memiliki aplikasi My Blue Bird. Orang yang sudah pakai aplikasi ini (Go-Jek) ada fitur baru untuk pemesanan taksi,"" ujar Teguh saat dihubungi Kompas.com.

Hasil kerja sama di antara keduanya itu diharapkan sudah bisa dinikmati dalam waktu dekat ini.

Bila merujuk pada keterangan resmi yang dikirimkan, kerja sama Go-Jek dan Blue Bird bisa jadi akan menjangkau sistem pembayaran.

Saat ini, Go-Jek memiliki sistem pembayaran elektronik bernama Go-Pay. Pengguna cuma mengisi saldo melalui transfer bank dan saldo tersebut bisa dipakai untuk membayar segala layanan yang ditawarkan Go-Jek.

Mungkin saja kerja sama dalam sistem pembayaran akan mencakup integrasi Go-Pay dengan fitur pemesanan taksi Blue Bird. Pengguna cukup memesan taksi milik Blue Bird, lalu bisa membayarnya dengan saldo Go-Pay.

Kedua perusahaan transportasi itu sendiri berjanji untuk membagikan detail seputar kerja sama dalam waktu dekat.
"
7;http://tekno.kompas.com/read/2016/05/08/10550047/Nvidia.Rilis.Kartu.Grafis.Gila.GeForce.GTX.1080;Minggu, 8 Mei 2016 | 10:55 WIB;"Nvidia Rilis Kartu Grafis ""Gila"" GeForce GTX 1080";"KOMPAS.com - Setelah muncul dalam kartu grafis profesional Tesla P100, arsitektur GPU Pascal yang baru dari Nvidia akhirnya diteruskan ke produk kelas konsumen melalui perkenalan duo kartu grafis GeForce GTX 1080 dan GTX 1070.

Sebagaimana dirangkum KompasTekno dari PC World, Minggu (8/5/2016), Nvidia mengklaim bahwa kedua kartu grafis ini memiliki kinerja yang jauh lebih kencang dibandingkan generasi sebelumnya.

GeForce GTX 1080, misalnya, disebut lebih cepat dibandingkan Titan X ataupun dua kartu grafis GeForce GTX 980 yang digabungkan melalui teknologi SLI.

“(Kinerja) GTX 1080 benar-benar gila, hampir tidak bertanggung jawab,” sesumbar CEO Nvidia Jen-Hsun Huang dalam blog Nvidia. “Ini adalah masa depan grafis yang tersedia sekarang. 1080 adalah sang raja baru,” lanjutnya.

GeForce GTX 1080 dan GTX 1070 menandai lompatan GPU Nvidia ke proses fabrikasi 16 nanometer setelah sebelumnya bertahan lama dengan proses 28 nanometer. 

Walhasil, GPU pada GeForce GTX 1080 mampu berjalan dengan clockspeed setinggi 2.114 sambil tetap mempertahankan suhu operasional yang relatif dingin sehingga menyisakan ruang untuk penambahan kinerja ekstra lewat teknik overclocking.

“Potensi overclocking-nya sungguh luar biasa,” kata Huang.

GeForce GTX 1080 dipasangkan dengan memori GDDR5X berkapasitas 8 GB dengan bandwidth mencapai 10 gigabit per detik, sementara GTX 1070 mengandalkan GDDR5 versi “reguler”.

Nvidia akan mulai memasarkan GeForce 1080 pada 27 Mei mendatang dengan harga 599 dollar AS atau sekitar Rp 8 juta. GeForce GTX 1070 akan menyusul pada 10 Juni dengan banderol 379 dollar AS atau sekitar Rp 5 juta.
"
8;http://bisniskeuangan.kompas.com/read/2016/05/12/190837926/BI.Minta.Masyarakat.Jaga.Kualitas.Uang.Kertas.;Kamis, 12 Mei 2016 | 19:08 WIB;BI Minta Masyarakat Jaga Kualitas Uang Kertas;"BANJARMASIN, KOMPAS.com - Rupiah menjadi alat pembayaran yang sah dan diwajibkan sebagai alat bertransaksi di wilayah NKRI.
Rupiah juga menjadi bukti Indonesia merupakan negara yang berdaulat.
Perputaran uang dalam berbagai aktivitas masyarakat membuat kondisinya cepat rusak dan tidak layak.
Hal ini terjadi karena perilaku masyarakat Indonesia terhadap rupiah turut menurunkan kualitas Rupiah, khususnya uang kertas.
""Uang harus dijaga kualitasnya, negara kita memiliki wilayah geografi yang sangat luas dan terpencar dalam pulau- pulau. Hal ini mengakibatkan kegiatan mencetak dan mengedarkan uang menjadi relatif mahal,"" ujar Andiwiana S Deputi Direktur Departemen Komunikasi Bank Indonesia dalam wawancaranya bersama Kompas.com di Banjarmasin, Kamis (12/05/2016).
Andi menegaskan, dengan menjaga kualitas uang yang kita miliki, kita turut berperan mengurangi biaya dan pemborosan penggunaan sumberdaya alam yang digunakan sebagai bahan dasar uang.
Selain itu hendaknya masyarakat juga aktif memperhatikan keaslian uang rupiah yang dimilikinya.
Sebagai warga negara Indonesia sudah selayaknya menjaga dan memperlakukan rupiah dengan baik, dan tidak mencoret-coret uang kertas, dilipat-lipat, distaples yang mengakibatkan uang cepat rusak.
"
9;http://tekno.kompas.com/read/2016/05/02/08080077/Google.Diam-diam.Berencana.Beli.Pesaing.WhatsApp.;Senin, 2 Mei 2016 | 08:08 WIB;Google Diam-diam Berencana Beli Pesaing WhatsApp?;"KOMPAS.com - Beberapa tahun lalu, Google dikabarkan hendak membeli WhatsApp. Pertama kali senilai 1 miliar dollar AS (sekitar Rp 13 triliun), lalu kedua kali menjadi 10 miliar dollar AS (Rp 131 triliun).
Kabar itu dibantah Google. Kenyataannya, WhatsApp kemudian bersedia diakuisisi Facebook dengan harga lebih menggiurkan, yakni 19 miliar dollar AS atau setara Rp 250 triliun.
Kini, lagi-lagi Google disebut-sebut hendak mengakuisisi layanan pesan singkat. CEO Google Sundar Pichai dikatakan diam-diam telah bertemu pendiri Telegram Pavel Durov pada akhir tahun 2015.
Rumornya, Google berminat membeli pesaing WhatsApp tersebut senilai 1 miliar dollar AS atau sekitar Rp 13 triliun. Hal ini dibenarkan beberapa investor yang familiar dengan rencana akuisisi tersebut.
Saat dikonfirmasi, Durov membenarkan pertemuan dengan Pichai, sebagaimana dilaporkan 9to5Google dan dihimpun KompasTekno, Senin (2/5/2016).
Namun Durov enggan mengiyakan soal rencana akuisisi. Juru bicara Telegram bahkan memberikan pernyataan lebih lantang.
""Ini omong kosong. Tak ada pembicaraan akuisisi. Tak ada rencana sama sekali,"" kata sang juru bicara.
Benar atau tidaknya akuisisi tersebut, Google tampaknya sedang membangun kiprahnya untuk layanan pesan singkat.
Desember lalu, Google mengatakan sedang mempersiapkan layanan pesan singkat yang bakal dilengkapi asisten digital. Hal ini serupa dengan inisiasi Facebook menyematkan chatbot pada aplikasi Messenger.
Lebih lanjut, Google juga terlibat dalam pendanaan 100 juta dollar AS (Rp 1,3 triliun) untuk startup pesan singkat bernama ""Symphony"". Layanan tersebut kurang lebih sama dengan Telegram, yakni mengedepankan keamanan berkomunikasi maya.
"
10;http://tekno.kompas.com/read/2016/04/27/10160007/Upaya.Nokia.Kembali.ke.Dunia.Gadget;Rabu, 27 April 2016 | 10:16 WIB;"Upaya Nokia Kembali ke Dunia ""Gadget""";"KOMPAS.com — Nokia sempat mendominasi dunia telepon genggam selama lebih dari satu dekade. Namun, semenjak melego layanan pemetaan Here Maps dan divisi ponsel pada 2014 lalu, nama sang ""mantan raja ponsel"" itu relatif tak terdengar di ranah gadget (gawai).

Selain tablet yang dirilis untuk pasaran China serta kamera virtual reality (VR) Ozo, Nokia relatif senyap selama beberapa tahun terakhir dan lebih banyak berkonsentrasi di bisnis infrastruktur jaringan bersama Alcatel-Lucent.

Namun, pabrikan Finlandia itu diam-diam sedang merancang rencana untuk melakukan comeback ke dunia gadget, bukan melalui ponsel, melainkan produk-produk wearable device untuk kesehatan.

Awal minggu ini, sebagaimana dirangkum KompasTekno dari The Wall Street Journal, Rabu (27/4/2016), Nokia mengumumkan rencana akuisisi terhadap startup asal Perancis bernama Withings senilai 190 juta dollar AS. 

Nantinya, Withings akan bergabung dengan Nokia Technologies, sayap perusahaan Nokia yang menangani digital media, lisensi merek, dan paten, serta menjaga eksistensi nama ""Nokia"" di ranah konsumen.

""Kami telah dengan konsisten mengatakan bahwa digital health merupakan area yang menarik secara strategis untuk Nokia dan kami sekarang mengambil langkah konkret untuk memanfaatkan peluang di pasar yang besar dan penting ini,"" ujar Presiden dan CEO Nokia Rajeev Suri dalam sebuah pernyataan.

Digital media, digital health

Berdiri sejak 2008 serta memiliki 200 karyawan di Paris, Cambridge (AS), dan Hongkong, Withings merupakan pabrikan pernak-pernik Internet of Things (IoT) bertema kesehatan yang tersambung ke internet. 

Bentuknya beraneka ragam, termasuk arloji, gelang kesehatan, sleep tracker, baby monitor, hingga termometer dan timbangan berat badan yang terhubung ke internet melalui Wi-Fi.
IoT, di mana segala macam perangkat elektronik terhubung ke internet, adalah salah satu tren yang mulai banyak digaungkan oleh para pelaku industri, termasuk Nokia. Sementara itu, healthcare diprediksi bakal menjadi salah satu pasar vertikal terbesar untuk IoT.

Akuisisi Withings seolah menekankan kolaborasi antara Nokia Technologies dan Nokia Networks, sayap bisnis infrastruktur jaringan dari perusahaan terkait. 

Sebelum akuisisi Withings, pada pertengahan 2015, Suri sempat menuturkan bahwa Nokia Technologies memang bakal memfokuskan diri pada dua hal, yakni digital media dan digital health.

Digital media mewujud dalam bentuk seperti kamera VR Ozo yang dibanderol 60.000 dollar AS, sementara digital health berupaya direalisasikan lewat perangkat-perangkat IoT dan werable devicebertema kesehatan dari Withings. 

Selain produk jadi, akuisisi Withings sekaligus memberikan jalur ritel dan hal-hal lainnya yang diperlukan untuk memasarkan produk sehingga Nokia tak perlu membangun sendiri. 

Melalui bidang digital media dan digital health inilah, sang mantan raja ponsel melancarkan upayanya untuk ""kembali"" sebagai pembuatconsumer electronics.
"
