No.;Sumber;Tanggal;Judul;Berita
1;http://news.detik.com/berita/3209300/penjelasan-sman-3-semarang-soal-sks-dan-nilai-di-ppds-online-yang-tak-terisi;Kamis 12 May 2016, 19:43 WIB;Penjelasan SMAN 3 Semarang soal SKS dan Nilai di PPDS Online yang Tak Terisi;"Sistem Kredit Semester (SKS) yang diterapkan SMAN 3 Semarang sudah dilakukan sejak 2012. Selama itu tidak ada masalah sehingga pihak sekolahan merasa tidak bisa disalahkan terkait ""musibah"" 380 siswa IPA reguler tidak lolos SNMPTN.

""Di kami penginput datanya ada empat orang, ahli IT semua,"" kata Kepala SMAN 3 Semarang, Bambang Nianto, di kantornya, Jl Pemuda, Kamis (12/5/2016).

Wakil Kepala Sekolah bidang Kurikulum, Emmy Irianingsih menambahkan SKS yang diterapkan di SMAN 3 Semarang merupakan pola discontinue yang artinya mata pelajaran disetting on atau off pada semester tertentu.

""SKS sudah sejak 2012 dengan pola discontinue, artinya mata pelajaran disetting on off. Nah di sistemnya PDSS (Pangkalan Data Sekolah dan Siswa) baru sekarang ini memfasilitasi khusus untuk sistem SKS yang ini,"" kata Emmy kepada detikcom.

Ia menjelaskan pola SKS tersebut yaitu dibuat empat seri yang dikembangkan untuk 5 atau 6 semester sehingga mata pelajarannya dibagi. Jika dalam satu semester tidak ada mata pelajaran misalnya Kimia, maka statusnya off.

""Bukan nilainya yang kurang, memang mata pelajarannya tidak muncul karena off, jadi munculunya misal di semester 1, 3, 4, dan 6,"" terang Emmy.

Ada variabel untuk sekolahan menentukan pelajaran yang on atau off di tiap semesternya, antara lain jumlah jam ajar guru, mata pelajaran tiap semester, dan beban belajar tiap semester.

""Pengaturan (mata pelajaran) ada variabel yang harus diperhatikan. Yang menentukan sekolahan,"" tegasnya.

Ketika ditanya terkait keluhan siswa tentang nilai yang tidak tercantum untuk SNMPTN, Emmy enggan menjawab. Menurutnya nilai yang kosong itu adalah mata pelajaran yang statusnya off.

""Yang off itu (yang kosong), karena memang tidak ditempuh misal kimia di semester 3. Karena off mata pelajaran tidak muncul di tiap semester,"" pungkas Emmy.

Pihak sekolah tidak berkenan disalahkan terkait ""musibah"" itu. Maka pihak orang tua siswa, sekolah, dan Disdik Kota Semarang membuat tim untuk melakukan investigasi untuk mengungkapkan faktor apa yang menyebabkan ratusan siswa itu gagal SNMPTN.
"
2;http://news.detik.com/berita/3209230/bnn-turun-tangan-bantu-penyelidikan-narkoba-di-ruang-kerja-bupati-dirwan;Kamis 12 May 2016, 18:17 WIB;BNN Turun Tangan Bantu Penyelidikan Narkoba di Ruang Kerja Bupati Dirwan;"BNN turun tangan membantu proses penyelidikan BNNP Bengkulu terkait temuan narkoba di ruang kerja Bupati Bengkulu Selatan, Dirwan Mahmud. Hingga kini pihaknya masih melakukan pemeriksaan beberapa saksi.

""Sore ini telah berangkat tim dari BNN menuju BNNP Bengkulu. Tim dipimpin Direktur Prekusor dan Psikotropika, Brigjen Anjan Pramuka,"" ujar Kabag Humas BNN, Kombes Slamet Pribadi dalam pesan singkat kepada detikcom, Kamis (12/5/2016).

Tim BNN pusat berangkat ke Bengkulu untuk membantu BNNP Bengkulu mengungkap kasus temuan narkoba di ruangan kerja Dirwan. ""Untuk mem-backup penyidikan BNNP Bengkulu sekaligus memberikan penguatan penyidikan,"" sambungnya.

Sebelumnya pemeriksaan ini berawal dari temuan BNNP Bengkulu di ruang kerja Dirwan di Jl. Raya Padang Panjang No. 1, Manna, Bengkulu Selatan, Bengkulu pada Selasa (10/5). Petugas kemudian menemukan 2 tablet warna merah, dan satu paket kecil serbuk putih yang berada di selipan kursi tamu dan 2 (dua) tablet berwarna biru di belakang kardus minuman mineral yang terletak di samping kulkas.

BNNP Bengkulu kemudian melakukan tes urine kepada bupati dan hasilnya negatif. Meski negatif, Dirwan siap diperiksa dan akan kooperatif dengan BNN.

Atas temuan itu juga Bupati Dirwan mengaku dirinya difitnah. Dia juga meminta BNN mengungkap siapa pemilik barang haram tersebut karena Dirwan merasa narkoba itu bukan miliknya. 

Dirwan menyebut, fitnah yang menimpa dirinya tak terlepas dalam urusan politik Pilkada. ""Kalau mau lawan saya lagi, ya ayo lima tahun mendatang. Jangan cara-cara fitnah seperti ini. Ini kejadian yang sangat luar biasa buat saya dan keluarga,"" kata Dirwan saat diwawancara detikcom, Rabu (11/5) kemarin. 
"
3;http://news.detik.com/jawabarat/3209268/keluhan-pengunjung-kebun-binatang-bandung-makin-kumuh-dan-becek;Kamis 12 May 2016, 18:51 WIB;Keluhan Pengunjung: Kebun Binatang Bandung Makin Kumuh dan Becek;"Gajah Yani, satu dari 900 penghuni Kebun Binatang Bandung sudah mati setelah sejak Maret diketahui sakit, dan seminggu lalu sekarat. Bagaimana kondisi hewan lainnya di sana?

Pantauan detikcom, kondisi kandang mayoritas tak terurus. Ada yang sudah berkarat hingga menyebabkan beberapa bagian kandang keropos. Bahkan ada salah satu kandang banteng yang besi penghalangnya patah, rentan diterobos oleh penghuninya.

Kolam-kolam yang ada di kandang maupun di area Kebun Binatang sangat jorok. Berlumut, keruh kehijauan dan bau tak sedap. Seperti tidak pernah dibersihkan. Sejumlah kandang terpantau kosong tidak ada penghuninya. Entah memang kosong sejak lama atau mati. Di bagian utara memang terlihat ada bangunan kandang baru, namun belum terbangun sempurna.

Setiap kali ada pengunjung yang mendekat, hewan-hewan seolah menanti makanan. Mereka melahap apa yang diberi oleh pengunjung. Bahkan hingga berebut.

Pengunjung tidak terlalu terpengaruh dengan kematian Gajah Yani. Mereka hanya bertanya-tanya apa sebab gajah Sumatera tersebut mati mengenaskan.

Mereka juga tidak berani mendekat ke kandang gajah karena sudah diberitahu bahwa ada gajah sakit yang mati pada Kamis (12/5/2016). Rencananya Balai Besar Konservasi Sumber Daya Alam akan melakukan pemeriksaan terhadap seluruh hewan. Karena dikhawatirkan terjangkit penyakit. 

Salah seorang pengunjung, Ramdan (27) warga Soreang mengaku sudah tiga kali berkunjung ke Kebun Binatang Bandung. Kali ini Ia datang mengantar anak bungsunya yang masih balita. Pendapatnya, semakin ke sini kualitas Kebun Binatang menurun. 

Ramdan berharap pengelola bisa lebih memperhatikan hewan dan kandang-kandangnya. ""Binatangnya muyung (lesu). Kurang makanan kali ya,"" kata wirausahawan tersebut. 

Ketua Yayasan Margasatwa Tamansari Dadang Danumihardja sebagai pengelola kebun binatang sudah memberi penjelasan soal ini. Dia menyangkal ada persoalan dana. Namun semua hal terkait perawatan hewan akan dievaluasi. 
"
4;http://news.detik.com/berita-jawa-timur/3209284/siswi-smp-dicabuli-8-anak-di-bawah-umur-risma-ada-benang-merah-lokalisasi-ditutup;Kamis 12 May 2016, 19:13 WIB;Siswi SMP Dicabuli 8 Anak di Bawah Umur, Risma: Ada Benang Merah Lokalisasi Ditutup;"Kasus persetubuhan dan pencabulan dengan korban dan tersangka yang masih di bawah umur berhubungan dengan penutupan lokalisasi di Surabaya yang dilakukan Risma. Dan kasus ini merupakan fenomena gunung es.

""Saya ingin menyampaikan kenapa saya tutup lokalisasi. Peristiwa ini ada benang merahnya dengan (Lokalisasi) Dolly,"" ujar Risma kepada wartawan di Polrestabes Surabaya, Kamis (12/5/2016).

Sayangnya Risma enggan menyebut apa hubungan atau benang merah itu. Yang pasti Risma mengatakan tujuan dari penutupan lokalisasi yang dilakukan salah satunya adalah menyelamatkan anak-anak seperti korban.

""Saya tidak sebutkan (benang merahnya) dengan Dolly. Tapi yang jelas ini ada hubungannya kalau melihat kronologinya,"" pungkas Risma.

Dari informasi yang dihimpun, benang merah yang dikatakan Risma mungkin berasal dari orangtua korban. Orang tua korban pernah menjadi PSK yang bekerja di Lokalisasi Dolly. Faktor orang tua yang mungkin lebih kurangnya menjadi salah satu faktor korban menjadi korban pencabulan.

Korban sendiri menjadi obyek seksual sejak umur empat tahun. Dan sebulan terakhir korban yang masih berusia 13 tahun telah dicabuli dan disetubuhi para pelaku yang masih di bawah umur. Para pelaku masih duduk di SD dan SMP. 
"
5;http://news.detik.com/berita-jawa-timur/3209275/dewan-pendidikan-jombang-sebut-un-smp-bocor-kode-kunci-jawaban-yang-beredar-sama;Kamis 12 May 2016, 18:48 WIB;Dewan Pendidikan Jombang Sebut UN SMP Bocor, Kode Kunci Jawaban yang Beredar Sama;"Dewan Pendidikan Kabupaten Jombang menyebut terjadi kebocoran pelaksanaan UN SMP. Hal itu terkuak setelah mencocokkan kunci jawaban Matematika yang beredar di SMPN 4 Jombang dengan soal UN. Hasilnya, kode pada kunci jawaban sama persis dengan kode pada soal UN Matematika jenjang SMP sederajat.

Wakil Ketua Dewan Pendidikan Kabupaten Jombang M Ghufron mengatakan, pihaknya telah mencocokkan kunci jawaban yang beredar di SMPN 4 Jombang dengan soal UN Matematika untuk jenjang SMP sederajat. Hasilnya, ternyata kode kunci jawaban yang diterima para siswa sama persis dengan kode soal yang dikerjakan peserta UN, Selasa (10/5).

""Kami menduga telah terjadi kebocoran. Karena kita sudah kroscek dengan polisi, Dinas Pendidikan, dan guru matematika terhadap kunci jawaban yang beredar. Ternyata ada kesamaan antara kode kunci jawaban dengan kode soal. Kesimpulan kami, bahwa kunci jawaban ini bocor karena cocok dengan soal Matematika,"" kata Ghufron kepada wartawan, Kamis (12/5/2016).

Untuk itu, lanjut Ghufron, Dewan Pendidikan Kabupaten Jombang melayangkan surat rekomendasi ke Dinas Pendidikan dan Polres Jombang. Salah satu poin dalam surat tersebut, pihaknya meminta agar polisi mengusut tuntas kasus kebocoran kunci jawaban tersebut.

""Rekomendasi kami ke dinas pendidikan dan kepolisian agar mengusut tuntas dugaan kebocoran ujian nasional di Kabupaten Jombang,"" tegasnya.

Sementara empat poin rekomendasi Dewan Pendidikan Kabupaten Jombang berikutnya antara lain, mengoptimalkan kinerja panitia dan pengawas dalam pelaksanaan UN, mengevaluasi kinerja pengawas UN di setiap sekolah, mengevaluasi kinerja Dinas Pendidikan Kabupaten Jombang dalam menyelenggarakan UN serta meminta wali murid dan sekolah membangun kepercayaan dirinya siswa dalam mengikuti UN.

Sementara Panitia UN SMP yang juga Kabid Pendidikan Dasar Dinas Pendidikan Kabupaten Jombang Priadi menyangkal jika terjadi kebocoran soal maupun kunci jawaban.

""Setelah kami cek, ternyata kunci jawaban itu tidak akurat. Tidak mungkin terjadi kebocoran karena hampir tidak ada celah, saat pendistribusian soal dikawal polisi. Kunci jawaban seperti itu siapa saja bisa membuat,"" terangnya.

Pelaksaan hari ke dua UN SMP sederajat di Kabupaten Jombang digegerkan dengan beredarnya kunci jawaban Matematika di kalangan siswa, Selasa (10/5). Lembaran kunci jawaban itu berisi 8 paket yang masing-masing terdiri dari 40 nomor lengkap dengan jawaban A-D. 
"
6;http://news.detik.com/berita/3209287/polda-jabar-telusuri-pria-berseragam-polisi-yang-cekik-petugas-tol-cileunyi;Kamis 12 May 2016, 19:17 WIB;Polda Jabar Telusuri Pria Berseragam Polisi yang Cekik Petugas Tol Cileunyi;"Video pria diduga berseragam polisi yang mencekik seorang petugas gerbang Tol Cileunyi beredar di jagat maya. Kemunculan video rekaman kamera CCTV berdurasi 50 detik ini menjadi viral sejak Senin (9/5) lalu. Polda Jabar tengah menelusuri sosok pria berpakaian mirip polisi yang tampil dalam tayangan visual tersebut.

""Nanti coba saya cari informasinya,"" ucap Kabidhumas Polda Jabar Kombes Pol Yusri Yunus via telepon, Kamis (11/5/2016).

Belum bisa dipastikan apakah pria yang tangan kirinya mencekik petugas Tol Cileunyi berpakaian oranye di suatu tempat seperti ruangan itu bagian dari personel Polda Jabar. Penelusuran tengah dilakukan pihak Polda Jabar.

""Tunggu ya, nanti saya kabari lagi,"" ucap Yusri singkat.

Video 1 menit 37 detik diunggah ke situs berbagi Youtube. Tertulis bahwa kejadian itu terkait pembayaran tol. Sejauh ini belum ada keterangan dari pihak pengelola tol. 
"
7;http://news.detik.com/berita/3209295/dprd-bojonegoro-belajar-transparansi-desa-ke-batang;Kamis 12 May 2016, 19:23 WIB;DPRD Bojonegoro Belajar Transparansi Desa Ke Batang;"Inovasi transparansi terutama pada pengelolaan dana desa yang diterapkan di Kabupaten Batang menarik perhatian sejumlah pemerintah daerah di Indonesia. Komisi A DPRD Bojonegoro berkunjung ke Batang untuk belajar transparansi anggaran, terutama pengelolaan dana desa hari ini.

Wakil Ketua Komisi A DPRD Bojonegoro Anam Warsito mengatakan pihaknya sengaja memilih belajar langsung ke Batang dan menjadikan penerapan di Batang sebagai referensi penyusunan peraturan daerah (perda) keterbukaan informasi publik di Bojonegoro. Salah satu hal yang dipelajari oleh DPRD Batang adalah gagasan Festival Anggaran dan kompetisi transparansi antardesa.

""Apa yang dilakukan Bupati Batang Yoyok Riyo Sudibyo patut diapresiasi, karena kemajuan yang mendahului daerah lain. Dan terus terang kami sudah mempelajarinya melalui media. Sekarang berkesempatan bertemu dan belajar langsung,"" ujar Anam Warsito dalam siaran pers dari Pemkab Batang, Kamis (12/5/2016).

Kunjungan belajar transparansi DPRD Bojonegoro ke Batang mendapat sambutan yang hangat dari Bupati Yoyok Riyo. Pasalnya, Bojonegoro merupakan kabupaten yang menjadi daerah percontohan pada ajang Open Government Partnership (OGP) Subnational Government Program atau Percontohan Pemerintah Daerah Terbuka. Prestasi yang disebut-sebut menempatkan Bojonegoro sejajar dengan Paris.

""Kami di Batang memaknai transparansi sebagai salah satu bentuk pembagian kekuasaan antara elite birokrasi dengan rakyatnya. Dengan adanya transparansi, maka masyarakat akan memiliki akses yang besar terhadap kebijakan yang dilakukan elite. Lewat transparansi kedudukan masyarakat menjadi setara dan berdaya di mata elit birokrasi. Ini adalah salah satu dari proses demokrasi,"" ulas Yoyok.

Atas kunjungan DPRD Bojonegoro tersebut, Yoyok mengaku senang karena bisa berbagi ilmu dan kebaikan. ""Kolaborasi antar daerah itu penting. Tidak ada daerah yang bisa maju tanpa dukungan dari daerah-daerah sekitarnya. Semoga melalui kunjungan DPRD Bojonegoro ke Batang, penerapan transparansi di Bojonegoro menjadi lebih baik,"" pungkasnya. 
"
8;http://news.detik.com/berita/3209283/istana-penanganan-isu-komunisme-harus-hormati-ham-dan-kebebasan-berpendapat;Kamis 12 May 2016, 19:15 WIB;Istana: Penanganan Isu Komunisme Harus Hormati HAM dan Kebebasan Berpendapat!;"Presiden Joko Widodo telah memerintahkan Kapolri dan Panglima TNI agar penanganan terhadap isu penyebaran komunisme tidak kebablasan. Presiden meminta, penanganan isu komunisme tetap menghormati HAM dan kebebasan berpendapat.

""Memang ada masukan dari berbagai pihak yang mengatakan, yang memberi masukan ke Presiden, ada sebagian dari aparat itu yang dianggap 'kebablasan' dalam menterjemahkan perintah Presiden untuk menertibkan upaya kebangkitan PKI. Direspon juga oleh Presiden kita Pak Jokowi ini dengan langsung menelepon, dengan memerintahkan kepada Kapolri, kepada Panglima TNI untuk melihat itu tadi, masih tetap menghormati hak asasi, kebebasan berpendapat. Saya kira Panglima TNI dan Kapolri bisa menterjemahkan itu dengan baik,"" kata Jubir Presiden, Johan Budi di komplek Istana Kepresidenan, Jl Veteran, Jakpus, Kamis (12/5/2016).

Menurut Johan, Presiden concern terhadap hak berpendapat masyarakat. Oleh karena itu, aparat penegak hukum harus bisa memberikan jaminan tidak akan melanggar HAM dan menghilangkan hak berpendapat dengan alasan pemberantasan paham komunisme.

""Direction Presiden itu clear menurut saya bahwa aparat di bawah itu jangan juga dalam rangka untuk menertibkan ada dugaan kebangkitan PKI itu disalah artikan kebablasan tadi. Sehingga kebebasan berpendapat, kebebasan untuk menyampaikan ide-ide itu jangan sampai  diberangus juga,"" jelas Johan.

Meskipun demikian, Presiden tetap berkomitmen tidak akan membiarkan bibit-bibit kebangkitan PKI tumbuh di Indonesia. Oleh karena itu, menjadi tugas Polri, TNI, BIN dan Kejaksaan Agung untuk menangani isu ini.

""Perintah Presiden adalah waktu itu kepada Jaksa Agung, Kapolri adalah menindak tegas upaya-upaya yang membangkitkan PKI. Karena itu dilarang dalam TAP MPR No 1/2003 dan itu masih berlaku sampai hari ini. Tidak boleh ada PKI di bumi pertiwi Indonesia,"" tegas Johan. 
"
9;http://news.detik.com/berita/3209289/4-wni-sandera-abu-sayyaf-bakal-tiba-di-jakarta-jumat-besok;Senin,  9 Mei 2016  ?  23:06 WIB;4 WNI Sandera Abu Sayyaf Bakal Tiba di Jakarta Jumat Besok;"Proses pemulangan 4 WNI yang disandera kelompok Abu Sayyaf masih berlangsung. Rencananya, keempat WNI akan tiba di Jakarta pada Jumat (13/5) besok. 

Berdasarkan informasi dari internal TNI, Kamis (12/5/2016), saat ini 4 WNI tersebut masih belum sampai di Tarakan, Kalimantan Timur. Namun proses pemindahan dari kapal Filipina ke KRI Surabaya diinformasikan berlangsung pada sore tadi. 

Molornya waktu pemulangan disebabkan untuk alasan keamanan dan keselamatan. Pihak TNI tidak mau mengambil risiko menjemput 4 WNi dengan helikopter dari KRI Surabaya ke Tarakan pada malam hari.

Melani, orang tua salah seorang sandera yang bernama Ariyanto mengkonfirmasi hal tersebut. Menurutnya, 

""Informasinya besok (sampai Jakarta),"" kata Melanie saat dihubungi, Kamis (12/5) malam.

Melanie sudah berkomunikasi dengan Kemenlu. Saat ini dia memilih untuk bertahan di rumahnya di Bekasi Timur. 

Keempat WNI merupakan ABK dari Kapal Tunda TB Henry dan Kapal Tongkang Cristi. Kapal mereka dibajak saat melintas di perairan sekembali dari Filipina menuju Tarakan, Kalimantan Timur. 

Kementerian Luar Negeri mempersilakan pihak keluarga menjemput keempatnya di kantor Kemlu setibanya di Jakarta. Kemlu juga menyebut pembebasan korban sandera ini merupakan salah satu bentuk konkret dari kerjasama Trilateral antara Indonesia, Filipina dan Malaysia.

""Nanti biasanya kita sampaikan bahwa ini bagian dari perlindungan WNI. Kita memiliki direktur yang menangani isu penyelamatan WNI. Oleh karena itu, kita akan serah terimakan di Kementerian Luar Negeri,"" ujar kata Juru Bicara Kemlu Arrmanatha di kantornya, Kamis (12/5). 
(rna/faj)
"
10;http://news.detik.com/berita/3209278/bnn-sita-50-kg-sabu-yang-disembunyikan-di-ban-serep;Rabu,  11 Mei 2016  ?  13:07 WIB;BNN Sita 50 Kg Sabu yang Disembunyikan di Ban Serep;"Badan Narkotika Nasional (BNN) menangkap 8 orang sindikat narkotika jaringan Malaysia. Dari para tersangka, petugas menemukan barang bukti narkotika jenis sabu dan ekstasi yang disembunyikan di dalam ban serep.

Deputi Pemberantasan BNN Irjen Arman Depari mengatakan, 8 tersangka ditangkap di beberapa wilayah Jakarta sejak Minggu (8/5) lalu.

""Ada delapan orang tersangkanya yang sudah kami amankan dan sedang dalam pengembangan,"" ujar Arman kepada detikcom, Kamis (12/5/2016).

Arman mengatakan, dari 8 orang tersangka ini, pihaknya menyita 50 Kg sabu dan 45 ribu butir ekstasi. Barang bukti tersebut disembunyikan para pelaku di dalam ban serep.

""Barang buktinya disembunyikan di dalam ban serep mobil Toyota Fortuner,"" imbuhnya.

Arman mengatakan, narkoba tersebut disuga berasal dari Malaysia. ""Untuk selengkapnya besok akan dirilis,"" pungkasnya.
"
