No.,Sumber,Tanggal,Judul,Berita
1,https://news.detik.com/berita/3209256/jokowi-minta-aparat-tak-kebablasan-tangani-isu-komunisme,"Kamis 12 May 2016, 18:50 WIB",Jokowi Minta Aparat Tak Kebablasan Tangani Isu Komunisme,"Jakarta - Presiden Joko Widodo mendengarkan suara-suara kurang sedap terkait penanganan yang dilakukan aparat penegak hukum dalam menyikapi isu merebaknya paham komunisme. Presiden lalu menelepon Kapolri dan Panglima TNI, memerintahkan penanganan isu komunisme jangan kebablasan.
""Jadi gini, saya ingin menceritakan kronologi tadi yang disampaikan oleh Presiden. Sebelumnya Presiden itu hanya mendengar dari tokoh-tokoh masyarakat kemudian juga dari tokoh-tokoh agama, kemudian menyampaikan ada kekhawatiran bahwa PKI itu akan bangkit, awalnya dari situ,"" kata Jubir Presiden Johan Budi di komplek Istana Kepresidenan, Jl Veteran, Jakpus, Kamis (12/5/2016).
Berdasarkan informasi itu, Presiden kemudian memanggil Kapolri, Panglima TNI, Jaksa Agung dan Kepala BIN. Saat itu, Jokowi meminta agar isu penyebaran paham komunisme ditangani secara serius.
""Kalau kita melihat TAP MPRS No.25 tahun 1966 yang kemudian diperbaharui menjadi TAP MPR No.1 2003, itu kan jelas bahwa penyebaran paham-paham komunis, PKI itu kan masih dilarang sampai saat ini. Oleh karena itu beberapa waktu yang lalu, Presiden memang memerintahkan kepada Polri, Jaksa Agung, Panglima TNI, juga BIN yang isinya adalah segera diatasi keresahan masyarakat ini kalau ada upaya-upaya untuk membangkitkan PKI, itu asalnya,"" jelas Johan.
Namun, seiring berjalannya waktu, Presiden mendapatkan laporan bahwa upaya-upaya yang dilakukan aparat hukum diprotes sebagian masyarakat. Jokowi hari ini lalu menelepon Kapolri Jenderal Badrodin Haiti dan Panglima TNI Jenderal Gatot Nurmantyo, meminta agar penanganan terhadap isu komunisme tidak kebablasan.
""Kemudian beberapa waktu yang lalu ada masukan juga kepada Presiden yang kemudian seolah-olah apa yang dilakukan tingkat bawah aparat ini dianggap kebablasan oleh sekelompok pihak yang lain. Masuk juga ke Presiden,"" tutur Johan.
""Karena itu Presiden telah memerintahkan ke Kapolri dan Panglima TNI dalam rangka untuk menghentikan atau upaya untuk membangkitkan PKI itu harus tetap menghormati kebebasan berpendapat seperti yang disampaian dalam TAP MPR no.1 tahun 2003. Tadi sudah disampaikan itu, karena itu aparat yang dianggap kebablasan oleh sebagian pihak itu harus dihentikan. Itu perintahnya Presiden, saya kira clear ya,"" tegasnya. 
"
2,http://ekbis.sindonews.com/read/1107930/34/bos-pln-akui-proyek-listrik-35-000-mw-sulit-terealisasi-1463038283,"Kamis,  12 Mei 2016  ?  14:38 WIB",Bos PLN Akui Proyek Listrik 35.000 MW Sulit Terealisasi,"JAKARTA - Direktur Utama PT PLN (Persero) Sofyan Basir mengakui bahwa keinginan pemerintah untuk membangun proyek kelistrikan dengan kapasitas 35.000megawatt (MW) bukan pekerjaan mudah. Apalagi, dirinya sebagai orang nomor satu di PLN tidak memiliki latar belakang kelistrikan.
Saat pemerintah mencanangkan proyek tersebut, kata dia, dirinya yang hanya berlatar belakang bankir cukup kaget dan takut tidak bisa merealisasikan proyek tersebut. Namun, setelah mendalami rencana itu, barulah mengerti bahwa mau tidak mau proyek prestisius tersebut harus terlaksana, karena masyarakat sangat membutuhkannya.
""?Faktanya memang demikian. ?Saya juga sulit awalnya, karena saya bankir masuk PLN. Hari ini bisa memahami kebutuhan ini,"" katanya saat berbincang dengan media di Kantor Staf Presiden, Jakarta, Kamis (12/5/2016).
Mantan Bos BRI ini menyebutkan, saat ini listrik per kapita masyarakat Indonesia masih sangat rendah yaitu sekitar 780 kilowatt hour (kWh). Sementara, negara-negara di ASEAN lainnya sudah jauh di atas Indonesia.
""?(Listrik per kapita negara ASEAN) ada yang 1.000 kWh, 2.000 kWh, bahkan ada yang 4.000 kWh lebih. Dan itu juga tentunya diikuti pertumbuhan income per kapita masyarakat kita. Mereka dulu punya kulkas sekarang punya. Tingkat kehidupan pun bertambah,"" imbuh dia.
Menurutnya, masih banyak provinsi di Tanah Air yang haus kebutuhan listrik. Ini terjadi lantaran pemerintah terlambat menyadari kebutuhan tersebut, sehingga terlambat membangun listrik itu. 
Selain itu, tambah Sofyan, listrik yang dimiliki Indonesia tiap tahunnya pasti ada yang mengalami kerusakan. Bahkan, tiap tahun sekitar 2.000 MW listrik keluar dari sistem karena rusak.? Karena itu, proyek kelistrikan 35.000 MW sangat dibutuhkan untuk memenuhi hal tersebut.
""Setiap tahun pasti ada (listrik) yang keluar dari sistem. 55 ribu MW kita susutkan 3%-4% per tahun. 2.000 MW pasti keluar dari sistem tiap tahun karena rusak. Kita harus kasih cadangan. Jadi, tidak semata hanya listrik pembangkit ini untuk 24 jam, 365 hari itu doang. Tidak. Ini hal yang secara teknis memang sulit kami jelaskan,"" tandasnya.?

"
3,http://nasional.sindonews.com/read/1105450/144/pendidikan-kejujuran-pemerintah-harus-gandeng-keluarga-sekolah-1462105046,"Minggu,  1 Mei 2016  ?  19:17 WIB","Pendidikan Kejujuran, Pemerintah Harus Gandeng Keluarga & Sekolah","JAKARTA - Komisi Pemberantasan Korupsi (KPK) meminta pemerintah lewat Kementerian Pendidikan dan Kebudayaan (Kemendikbud), menggandeng keluarga dan sekolah untuk membumikan pendidikan kejujuran.
Deputi Pencegahan KPK Pahala Nainggolan menyatakan, gagasan yang beberapa kali dilontarkan Mendikbud Anies Baswedan tentang pentingnya sekolah menanamkan kejujuran dan integritas bagi anak didik yang disosialisasikan kepada orangtua anak didik adalah gagasan yang bagus.
Apalagi untuk menaikkan integritas siswa dan sekolah. Tetapi menurut Pahala, akan sangat sulit diterapkan kalau tidak ada detail operasionalnya. Karenanya dia menanyakan bagaimana pelaksanaannya nanti.
""Itu gagasan bagus. Tapi kayak apa nih? Mata pelajaran baru? Atau budi pekerti? Atau penegakan aturan? (Misalnya) nyontek dikeluarin. Atau penyuluhan saja atau simultan?,"" kata Pahala kepada Koran Sindo, Jumat 29 April 2016 malam.
Pria yang mendapat gelar doktor dari Universitas Indonesia (UI) ini memaparkan, yang harus diingat oleh kita semua adalah peran keluarga sangat penting dalam menanamkan pendidikan kejujuran dan integritas.
Karenanya Pahala menilai, pemerintah mesti menggandeng keluarga untuk menggemakan dan menanamkan pendidikan tersebut. 
""Tetapi bukan hanya keluarga. Di sekolah, guru, lingkungan main juga harus konsisten, jujur semua. Dari kecil sampai kerja. Kompleks, dan enggak satu faktor saja yang harus didorong,"" ujarnya.
Pahala menuturkan, KPK sejak beberapa tahun lalu sudah membuat kurikulum pendidikan antikorupsi, yang di dalamnya berisi kejujuran dan integritas yang sudah diterapkan di sejumlah sekolah dan universitas. 
Dia berpandangan, pemerintah melalui Kemendikbud dan Kementerian Riset, Teknologi, dan Pendidikan Tinggi (Kemristekdikti) bisa mengadopsi itu guna menanamkan kejujuran anak mulai dari keluarga, sekolah dan universitas. 
""Langsung ikutin saja di kurikulum buku cetak. Materi untuk guru dan pengawas sekolah,"" bebernya.
Untuk saat ini, Pahala melanjutkan, KPK sedang merevisi kurikulum buku pendidikan antikorupsi untuk sekolah dan universitas. Yang pasti di dalam revisi itu tidak akan ada mata pelajaran baru. 
""Kita kerja bareng untuk sekolah pilotnya dikbud. Sekarang sedang jalan,"" jelasnya.

"
4,https://news.detik.com/berita/3209255/kabar-jaksa-di-kerinci-mogok-kerja-dibantah,"Kamis 12 May 2016, 18:48 WIB",Kabar Jaksa di Kerinci Mogok Kerja Dibantah,"Jakarta - Tersebar kabar, jaksa di Pangkalan Kerinci, di Riau mogok bersidang karena uang operasional belum cair. Namun kabar itu ternyata hanya rumors belaka. Soal jaksa mogok ditepis.

""Kita hari ini tidak bersidang, karena hakimnya lagi ada urusan di Batam. Jadi jaksa tidak bersidang bukan karena mogok soal  dana operasional,"" kata Kepala Kejaksaan Negeri (Kajari) Pangkalan Kerinci, Kabupaten Pelalawan, Riau Adnan saat dihubungi detikcom, Kamis (12/5/2016).

Adnan menyebutkan, pihaknya bukan kekurangan dana operasional. Hanya saja, pihak jaksa tindak pidana umum, diminta untuk melengkapi laporan anggarannya.

""Tidak benar sampai mogok kerja, tidak mau bersidang. Saya hanya minta pihak agar mereka (jaksa) melengkapi dokumen anggaran. Sebelum dokumen itu lengkap, ya tidak mungkin anggaran bisa cair,"" kata Adnan.

Adnan menyebutkan, kini semua anggaran operasional di lingkungannya sudah selesai.

""Sudah-sudah, tak ada masalah lagi. Minggu depan dananya semua cair. Kita sudah selesaikan semuanya,"" tutup Adnan.

Informasi yang dihimpun, pihak jaksa sejak awal pekan hingga hari ini tidak ada bersidang. Ini karena uang operasional belum dicairkan. Kondisi tersebut, membuat sejumlah persidangan tertunda. 
"
5,http://metro.sindonews.com/read/1107906/171/diusulkan-maju-pilgub-dki-ini-kata-djarot-1463034479,"Kamis,  12 Mei 2016  ?  13:28 WIB","Diusulkan Maju Pilgub DKI, Ini Kata Djarot","JAKARTA - Nama Wakil Gubernur DKI Jakarta Djarot Saiful Hidayat muncul dalam pengusulan dari DPD PDIP DKI Jakarta. Kendati sudah diusulkan oleh DPP PDIP, ternyata Djarot tidak berharap banyak maju dalam Pilgub DKI 2017 mendatang. 

Kepala Bidang Organisasi dan Pengkaderan DPP PDIP itu mengaku banyak proses yang harus dilalui masing-masing bakal calon.

""Asessment itu kan peraturan partai berlaku di seluruh Indonesia dan sudah berjalan. Siapapun mendaftar dari eksternal harus ikuti,"" katanya di Balai Kota DKI Jakarta, Jakarta Pusat, Kamis (12/5/2016).

Djarot menjelaskan, sebagai seorang kader PDIP belum tentu juga dirinya dicalonkan sebagai cagub DKI. ""Lihat bagaimana dinamika yang berkembang. Semua masih berpotensi,"" terangnya.

Mantan Wali Kota Blitar itu juga menyebut sebagai seorang yang diusulkan dirinya tidak perlu mengikuti proses uji kelayakan seperti calon yang mendaftar penjaringan. 

Pasalnya, Djarot sudah mengikuti uji kelayakan sebelum menjadi Wagub DKI. ""Saya ini kan untuk asessment tes, psikotes sudah setahun lalu. Calon eksternal juga harus jalanai psikotest dan wawancara. Saya kan internal jadi diskusi saja,"" tukas Djarot.
"
6,http://nasional.sindonews.com/read/1107988/12/ical-tegaskan-jokowi-tak-dukung-salah-satu-calon-1463047858,"Kamis,  12 Mei 2016  ?  17:12 WIB",Ical Tegaskan Jokowi Tak Dukung Salah Satu Calon,"JAKARTA - Ketua Umum DPP Partai Golkar Aburizal Bakrie (Ical) memastikan tidak ada arahan atau dukungan pemerintahan Joko Widodo (Jokowi) kepada salah satu calon ketua umum (Caketum) Partai Golkar.

""Presiden itu beliau itu terserah pada voters di dalam Golkar. Yang menentukan voters dari Golkar,"" ujar Ical di Istana Merdeka, Jakarta, Kamis (13/5/2016).

Ical mengatakan, Presiden Joko Widodo (Jokowi) tak memberikan arahan kepada salah satu calon. Presiden Jokowi, kata Ical, meyakini hal itu tindakan yang tidak etik.

""Baik presiden maupaun wapres saya kira enggak, semuanya terserah pada voters itu sendiri,"" ungkapnya.

Karenanya, Ical berharap, semua calon agar mengandalkan kemampuan diri khususnya saat menyampaikan visi dan misi dalam debat kandidat untuk meraih dukungan suara dari DPD I dan II serta organisasi sayap Golkar.

""Itu semua menjadi yakin bahwa siapa pemimpin ke depan itu benar untuk Golkar,"" pungkasnya.
"
7,http://nasional.sindonews.com/read/1108040/13/kpk-buru-aset-properti-atas-nama-mohamad-sanusi-1463056298,"Kamis,  12 Mei 2016  ?  19:31 WIB",KPK Buru Aset Properti Atas Nama Mohamad Sanusi,"JAKARTA - Penyidik Komisi Pemberantasan Korupsi (KPK) tengah memburu aset atas nama Mohamad Sanusi kepada PT Agung Podomoro Lang (PT APL). Melalui Direktur Legal PT APL Miarni Ang, KPK melacak sejumlah data dan dokumen kepemilikan aset atas nama Sanusi.

""Penyidik KPK telah minta kepada kami data atau dokumen kepemilikan aset atau properti atas nama MSN, baik yang atas nama yang bersangkutan maupun orang-orang lainnya. Berikut surat pemesanan, PPJB, kuitansi, rekening koran perusahaan dan dokumen-dokumen lain terkait transaksi pemesanan atau jual beli,"" kata Miarni usai menjalani pemeriksaan di KPK, Jalan HR Rasuna Said, Jakarta Selatan, Kamis (12/5/2016).

Dalam pemeriksaan siang tadi, Miarni mengaku telah menyerahkan semua dokumen berikut kronologisnya kepada penyidik KPK. Pemburuan aset ini disinyalir sebagai langkah KPK merespons pengakuan Sanusi terkait asal uang USD10.000 yang ditemukan penyidik di lemari besi di kediamannya, beberapa waktu lalu. 

Sanusi mengaku uang itu diperoleh dari sejumlah bisnis properti di wilayah Thamrin City. Namun demikian, Miarni menyatakan perolehan aset Sanusi tidak ada kaitannya dengan rancangan peraturan daerah (Raperda) mengenai reklamasi.

""Semua pemesanan atau perolehan aset properti oleh pihak MSN dilakukan beberapa tahun sebelum adanya raperda dan pembahasannya,"" kata Miarni.

""Oleh karenanya, hal pemesanan maupun perolehan aset properti tersebut tidak ada kaitannya atau indikasi keterkaitan dengan reklamasi, raperda maupun proses pembahasannya. Juga tidak ada kaitan dengan pemenuhan kewajiban-kewajiban reklamasi pulau G oleh PT MWS, apalagi pihak APLN,"" imbuhnya.
"
8,http://sports.sindonews.com/read/1107995/47/cuaca-tak-jadi-kendala-untuk-tim-thomas-uber-indonesia-1463048869,"Kamis,  12 Mei 2016  ?  19:00 WIB",Cuaca Tak Jadi Kendala untuk Tim Thomas-Uber Indonesia,"KUNSHAN - Sebanyak 20 pebulutangkis Indoneia sudah tiba di Kunshan, China, Kamis (12/3/2016) sekitar pukul 10.30 waktu setempat. Keberadaan mereka di sana yakni untuk mengikuti Piala Thomas dan Uber 2016.

Pada hari pertamanya, rombongan tim Indonesia akan lebih banyak beristirahat. Namun mereka bakal menyempatkan diri untuk menggelar sesi latihan ringan di salah satu gedung bulu tangkis kawasan Kunshan.

""Hari ini kami akan mulai latihan pertama di Kunshan Sesi latihan ini lebih ditujukan untuk recovery setelah perjalanan jauh. Jadi, intensitasnya tidak akan terlalu berat,"" kata Achmad Budiharto, Chef de Mission tim Piala Thomas dan Uber Indonesia.

Soal cuaca, pemain-pemain Indonesia bisa beradaptasi dengan baik. Menurut laporan di situs PBSI, cuaca di Kunshan berada pada suhu 26 derajat Celcius.

""Kondisi cuaca di Kunshan tak jauh beda dengan di Jakarta. Jadi, sejauh ini sih tidak ada masalah,"" ungkap Achmad Budiharto yang juga menjabat sebagai Wakil Sekretaris Jenderal PP PBSI.

Tim Indonesia mulai bertanding pada Sabtu (15/5/2016). Tim Uber akan berhadapan dengan Bulgaria pada babak penyisihan grup C. Sedangkan tim Thomas bakal bertarung melawan Hong Kong pada babak penyisihan grup B.

"
9,http://nasional.sindonews.com/read/1107251/144/ht-ajak-santri-bangun-indonesia-1462809969,"Senin,  9 Mei 2016  ?  23:06 WIB",HT Ajak Santri Bangun Indonesia,"PROBOLINGGO - CEO MNC Group Hary Tanoesoedibjo (HT) melakukan silaturahmi ke Pondok Pesantren Syekh Abdul Qodir Al-Jailani di Kraksaan, Probolinggo, Jawa Timur. Silaturahmi HT ini dilakukan untuk berbagi ilmu dan pengalaman ke lembaga pendidikan di seluruh penjuru negeri. 
""Saya senang sekali bisa berbagi pengalaman kepada generasi muda, karena generasi muda tumpuan bangsa di masa akan datang,"" ungkap HT memulai sesi sharing dengan santri di pondok pesantren asuhan Hafidz Aminuddin tersebut, pada Senin (9/5/2016). 
HT mengatakan, apapun profesi yang ditekuni kelak, para santri diharapkan bisa memberikan yang terbaik sesuai kapasitasnya. ""Nanti ada yang di pemerintahan, jadi pegawai negeri berkualitas. Jadi pengusaha berkualitas, jadi profesional yang berkualitas,"" katanya. 
Pria asal Jawa Timur itu berpesan agar para santri ikut memikirkan masa depan bangsa sehingga Indonesia bisa lebih baik dari sekarang ini. ""Indonesia ini perlu bantuan kita semua, perlu bantuan adik-adik. Kalau kalian mentas nanti, tolong pikirkan bagaimana mengentaskan kemiskinan,"" kata HT. 
CEO MNC Group itu mengungkapkan kisah suksesnya membangun usaha dari nol. Dari mulai satu karyawan hingga sekarang sudah lebih dari 30.000 karyawan. Dari satu perusahaan menjadi lebih dari 100 perusahaan. 
Kesuksesan yang diraihnya saat ini, lanjut HT, tidak terlepas dari tiga kualitas yang selalu diasah. Pertama, kualitas vertikal atau hubungan spiritual dengan Sang Pencipta. ""Kenapa kualitas vertikal harus kita nomor satukan? Supaya pikiran kita benar. Percuma pintar tapi pikirannya nyeleneh,"" ujarnya. 
Menurut HT, Indonesia membutuhkan generasi muda yang selalu berpikiran positif dan konstruktif dalam membangun Indonesia. ""Indonesia perlu generasi muda yang cinta Indonesia, yang mau membangun Indonesia,"" tuturnya.
HT melanjutkan, kualitas kedua yang harus dimiliki setiap orang untuk meraih sukses adalah kualitas internal. Artinya selalu introspeksi, melihat kelemahan-kelemahan diri lalu berusaha memperbaikinya. 
""Kita harus memperbaiki hidup kita setiap hari. Besok harus lebih baik dari hari ini, hari ini harus lebih baik dari kemarin,"" ucap ayah lima anak itu. 
Sementara kualitas yang ketiga adalah kualitas eksternal. Apapun yang dikerjakan, selalu berusaha memberikan yang terbaik. ""Jangan pernah berhenti menyelesaikan tugas kita sebelum hasilnya yang terbaik,"" terangnya.  
HT berharap, santri Pondok Pesantren Syekh Abdul Qodir Al-Jailani memiliki dan terus mengasah ketiga kualitas tersebut. ""Jadilah anak-anak yang berkualitas. Saya sangat berharap dari sini keluar jebolan-jebolan hebat sesuai porsinya masing-masing,"" harapnya. 

"
10,http://nasional.sindonews.com/read/1107621/144/alumni-ui-gelar-sarasehan-soal-peran-internet-1462946871,"Rabu,  11 Mei 2016  ?  13:07 WIB",Alumni UI Gelar Sarasehan Soal Peran Internet,"JAKARTA - Para alumni Universitas Indonesia (UI) menggelar acara sarasehan bertajuk, Urun Rembug Alumni Muda UI, Connecting UI Alumni Across the World. Acara diselenggarakan pada, Senin 9 Mei 2016.
Dalam acara dibahas mengenai teknologi tidak saja dianggap sebagai enabler, namun penggerak utama aset dan platform dari profesi masing-¬masing. Internet juga mengubah manusia dalam setiap kegiatan. 
Mulai dari membeli barang dan jasa, berwirausaha, penyebaran informasi, berbagi ilmu dan pengalaman, bahkan menyebarkan idealisme. ""Dengan teknologi alumni muda Universitas Indonesia menguasai dunia internet mengubah dunia kita. Tidak pernah terbayangkan sebelumnya, 47 tahun lalu sejak penemuannya internet menjadi bagian penting era millenia,"" ujar Ketua Badan Eksekutif Mahasiswa (BEM) UI, Ivan Riansa dalam siaran persnya, Rabu (11/5/2016) . 
Sementara itu, salah satu calon Ketua Iluni UI, Arief Budhy Hardono menyampaikan, dalam waktu dekat Ikatan Alumni Universitas Indonesia (ILUNI UI) akan mengadakan Pemilihan Raya (Pemira) Ketua ILUNI UI untuk pertama kalinya menggunakan metodeone man one vote melalui e-¬voting. (Baca: Farmasi UI Gelar Hasil Riset)
”Inilah momentum penting bagi UI untuk menunjukkan bahwa UI bukan saja suatu institusi yang adaptif terhadap perubahan tapi memimpin perubahan. ILUNI UI diharapkan berperan sebagai home base dari semua inisiatif ke arah perubahan.” ucap Arief.


"
